"STATION","DATE","TAVG"
"USW00013743","2021-03-01","47"
"USW00013743","2021-03-02","39"
"USW00013743","2021-03-03","43"
"USW00013743","2021-03-04","48"
"USW00013743","2021-03-05","36"
"USW00013743","2021-03-06","39"
"USW00013743","2021-03-07","38"
"USW00013743","2021-03-08","41"
"USW00013743","2021-03-09","51"
"USW00013743","2021-03-10","56"
"USW00013743","2021-03-11","62"
"USW00013743","2021-03-12","63"
"USW00013743","2021-03-13","56"
"USW00013743","2021-03-14","54"
"USW00013743","2021-03-15","43"
"USW00013743","2021-03-16","42"
"USW00013743","2021-03-17","45"
"USW00013743","2021-03-18","50"
"USW00013743","2021-03-19","47"
"USW00013743","2021-03-20","44"
"USW00013743","2021-03-21","49"
"USW00013743","2021-03-22","52"
"USW00013743","2021-03-23","56"
"USW00013743","2021-03-24","57"
"USW00013743","2021-03-25","59"
"USW00013743","2021-03-26","70"
"USW00013743","2021-03-27","62"
"USW00013743","2021-03-28","61"
"USW00013743","2021-03-29","52"
"USW00013743","2021-03-30","56"
"USW00013743","2021-03-31","61"
